zone,left_ratio,middle_ratio,right_ratio,timestamp
LEFT,1.0095,0.0,0.2491,23:47:49
LEFT,0.9648,0.0,0.2491,23:47:49
LEFT,0.9648,0.0,0.3113,23:47:49
LEFT,0.884,0.0,0.3113,23:47:50
LEFT,0.7831,0.0,0.289,23:47:50
LEFT,1.0054,0.0,0.2609,23:47:50
LEFT,1.0915,0.0,0.272,23:47:50
LEFT,1.1445,0.0,0.321,23:47:50
LEFT,1.1077,0.0,0.3476,23:47:51
LEFT,1.0064,0.0,0.4453,23:47:51
LEFT,1.1895,0.0,0.4616,23:47:51
LEFT,1.1666,0.0,0.4082,23:47:51
LEFT,1.1677,0.0,0.4661,23:47:51
LEFT,0.8643,0.0,0.4661,23:47:52
LEFT,0.8643,0.0,0.4807,23:47:52
LEFT,0.6565,0.0,0.4807,23:47:52
LEFT,0.6565,0.0,0.5338,23:47:52
LEFT,0.6641,0.0,0.5338,23:47:52
LEFT,0.6641,0.0,0.4665,23:47:52
LEFT,0.6846,0.0,0.6073,23:47:52
LEFT,0.6076,0.0,0.5863,23:47:52
LEFT,0.2539,0.0,0.5974,23:47:53
LEFT,0.4675,0.0,0.5714,23:47:53
LEFT,0.4222,0.0,0.5677,23:47:53
LEFT,0.4097,0.0,0.6372,23:47:53
LEFT,0.4212,0.0,0.7766,23:47:53
LEFT,0.6204,0.0,0.8318,23:47:54
LEFT,0.6288,0.0,0.7586,23:47:54
LEFT,0.8447,0.0,0.7586,23:47:54
LEFT,0.8447,0.0,0.7243,23:47:54
LEFT,0.8402,0.0,0.7243,23:47:54
LEFT,0.8402,0.0,0.6426,23:47:54
LEFT,0.8492,0.0,0.6426,23:47:54
LEFT,0.8492,0.0,0.5979,23:47:55
LEFT,0.827,0.0,0.5979,23:47:55
LEFT,0.827,0.0,0.494,23:47:55
LEFT,0.9714,0.0,0.494,23:47:55
LEFT,0.9714,0.0,0.4057,23:47:55
LEFT,1.1333,0.0,0.4057,23:47:55
LEFT,1.1333,0.0,0.3787,23:47:55
